Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Fsize
0,3,Man,male,22.0,1,0,7.25,X,S,2
1,1,Married,female,38.0,1,0,71.2833,C,C,2
1,3,Unmarried,female,26.0,0,0,7.925,X,S,1
1,1,Married,female,35.0,1,0,53.1,C,S,2
0,3,Man,male,35.0,0,0,8.05,X,S,1
0,3,Man,male,25.854036396555124,0,0,8.4583,X,Q,1
0,1,Man,male,54.0,0,0,51.8625,E,S,1
0,3,Man,male,2.0,3,1,21.075,X,S,5
1,3,Married,female,27.0,0,2,11.1333,X,S,3
1,2,Married,female,14.0,1,0,30.0708,X,C,2
1,3,Unmarried,female,4.0,1,1,16.7,G,S,3
1,1,Unmarried,female,58.0,0,0,26.55,C,S,1
0,3,Man,male,20.0,0,0,8.05,X,S,1
0,3,Man,male,39.0,1,5,31.275,X,S,7
0,3,Unmarried,female,14.0,0,0,7.8542,X,S,1
1,2,Married,female,55.0,0,0,16.0,X,S,1
0,3,Man,male,2.0,4,1,29.125,X,Q,6
1,2,Man,male,36.37196553890185,0,0,13.0,X,S,1
0,3,Married,female,31.0,1,0,18.0,X,S,2
1,3,Married,female,22.62279623058681,0,0,7.225,X,C,1
0,2,Man,male,35.0,0,0,26.0,X,S,1
1,2,Man,male,34.0,0,0,13.0,D,S,1
1,3,Unmarried,female,15.0,0,0,8.0292,X,Q,1
1,1,Man,male,28.0,0,0,35.5,A,S,1
0,3,Unmarried,female,8.0,3,1,21.075,X,S,5
1,3,Married,female,38.0,1,5,31.3875,X,S,7
0,3,Man,male,25.854036396555124,0,0,7.225,X,C,1
1,3,Unmarried,female,16.16031589865021,0,0,7.8792,X,Q,1
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,1,Man,male,40.0,0,0,27.7208,X,C,1
1,1,Married,female,38.0531153116038,1,0,146.5208,B,C,2
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
0,2,Man,male,66.0,0,0,10.5,X,S,1
0,1,Man,male,28.0,1,0,82.1708,X,C,2
0,1,Man,male,42.0,1,0,52.0,X,S,2
1,3,Man,male,25.854036396555124,0,0,7.2292,X,C,1
0,3,Man,male,21.0,0,0,8.05,X,S,1
0,3,Unmarried,female,18.0,2,0,18.0,X,S,3
1,3,Unmarried,female,14.0,1,0,11.2417,X,C,2
0,3,Married,female,40.0,1,0,9.475,X,S,2
0,2,Married,female,27.0,1,0,21.0,X,S,2
0,3,Man,male,25.854036396555124,0,0,7.8958,X,C,1
1,2,Unmarried,female,3.0,1,2,41.5792,X,C,4
1,3,Unmarried,female,19.0,0,0,7.8792,X,Q,1
0,3,Man,male,25.854036396555124,0,0,8.05,X,S,1
0,3,Man,male,20.248497192878645,1,0,15.5,X,Q,2
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
0,3,Man,male,14.642957989202174,2,0,21.6792,X,C,3
0,3,Married,female,18.0,1,0,17.8,X,S,2
0,3,Man,male,7.0,4,1,39.6875,X,S,6
0,3,Man,male,21.0,0,0,7.8,X,S,1
1,1,Married,female,49.0,1,0,76.7292,D,C,2
1,2,Married,female,29.0,1,0,26.0,X,S,2
0,1,Man,male,65.0,0,1,61.9792,B,C,2
1,1,Man,male,46.88989468124858,0,0,35.5,C,S,1
1,2,Unmarried,female,21.0,0,0,10.5,X,S,1
0,3,Man,male,28.5,0,0,7.2292,X,C,1
1,2,Unmarried,female,5.0,1,2,27.75,X,S,4
0,3,Man,male,11.0,5,2,46.9,X,S,8
0,3,Man,male,22.0,0,0,7.2292,X,C,1
1,1,Unmarried,female,38.0,0,0,80.0,B,S,1
0,1,Man,male,45.0,1,0,83.475,C,S,2
0,3,Man,male,4.0,3,2,27.9,X,S,6
0,1,Man,male,46.88989468124858,0,0,27.7208,X,C,1
1,3,Man,male,22.36028811290133,1,1,15.2458,X,C,3
1,2,Married,female,29.0,0,0,10.5,F,S,1
0,3,Man,male,19.0,0,0,8.1583,X,S,1
1,3,Unmarried,female,17.0,4,2,7.925,X,S,7
0,3,Man,male,26.0,2,0,8.6625,X,S,3
0,2,Man,male,32.0,0,0,10.5,X,S,1
0,3,Unmarried,female,16.0,5,2,46.9,X,S,8
0,2,Man,male,21.0,0,0,73.5,X,S,1
0,3,Man,male,26.0,1,0,14.4542,X,C,2
1,3,Man,male,32.0,0,0,56.4958,X,S,1
0,3,Man,male,25.0,0,0,7.65,F,S,1
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,3,Man,male,25.854036396555124,0,0,8.05,X,S,1
1,2,Man,male,0.83,0,2,29.0,X,S,3
1,3,Unmarried,female,30.0,0,0,12.475,X,S,1
0,3,Man,male,22.0,0,0,9.0,X,S,1
1,3,Man,male,29.0,0,0,9.5,X,S,1
1,3,Unmarried,female,16.16031589865021,0,0,7.7875,X,Q,1
0,1,Man,male,28.0,0,0,47.1,X,S,1
1,2,Unmarried,female,17.0,0,0,10.5,X,S,1
1,3,Married,female,33.0,3,0,15.85,X,S,4
0,3,Man,male,16.0,1,3,34.375,X,S,5
0,3,Man,male,25.854036396555124,0,0,8.05,X,S,1
0,3,Man,male,24.0,0,0,8.05,X,S,1
0,3,Man,male,29.0,0,0,8.05,X,S,1
0,3,Man,male,20.0,0,0,7.8542,X,S,1
0,1,Man,male,46.0,1,0,61.175,E,S,2
0,3,Man,male,26.0,1,2,20.575,X,S,4
0,3,Man,male,59.0,0,0,7.25,X,S,1
0,3,Man,male,25.854036396555124,0,0,8.05,X,S,1
0,1,Man,male,71.0,0,0,34.6542,A,C,1
1,1,Man,male,23.0,0,1,63.3583,D,C,2
1,2,Married,female,34.0,0,1,23.0,X,S,2
0,2,Man,male,34.0,1,0,26.0,X,S,2
0,3,Unmarried,female,28.0,0,0,7.8958,X,S,1
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,1,Man,male,21.0,0,1,77.2875,D,S,2
0,3,Man,male,33.0,0,0,8.6542,X,S,1
0,3,Man,male,37.0,2,0,7.925,X,S,3
0,3,Man,male,28.0,0,0,7.8958,X,S,1
1,3,Unmarried,female,21.0,0,0,7.65,X,S,1
1,3,Man,male,25.854036396555124,0,0,7.775,X,S,1
0,3,Man,male,38.0,0,0,7.8958,X,S,1
1,3,Unmarried,female,10.554776694973732,1,0,24.15,X,Q,2
0,1,Man,male,47.0,0,0,52.0,C,S,1
0,3,Unmarried,female,14.5,1,0,14.4542,X,C,2
0,3,Man,male,22.0,0,0,8.05,X,S,1
0,3,Unmarried,female,20.0,1,0,9.825,X,S,2
0,3,Unmarried,female,17.0,0,0,14.4583,X,C,1
0,3,Man,male,21.0,0,0,7.925,X,S,1
0,3,Man,male,70.5,0,0,7.75,X,Q,1
0,2,Man,male,29.0,1,0,21.0,X,S,2
0,1,Man,male,24.0,0,1,247.5208,B,C,2
0,3,Unmarried,female,2.0,4,2,31.275,X,S,7
0,2,Man,male,21.0,2,0,73.5,X,S,3
0,3,Man,male,25.854036396555124,0,0,8.05,X,S,1
0,2,Man,male,32.5,1,0,30.0708,X,C,2
1,2,Unmarried,female,32.5,0,0,13.0,E,S,1
0,1,Man,male,54.0,0,1,77.2875,D,S,2
1,3,Man,male,12.0,1,0,11.2417,X,C,2
0,3,Man,male,25.854036396555124,0,0,7.75,X,Q,1
1,3,Man,male,24.0,0,0,7.1417,X,S,1
1,3,Unmarried,female,12.66656761499641,1,1,22.3583,F,C,3
0,3,Man,male,45.0,0,0,6.975,X,S,1
0,3,Man,male,33.0,0,0,7.8958,X,C,1
0,3,Man,male,20.0,0,0,7.05,X,S,1
0,3,Married,female,47.0,1,0,14.5,X,S,2
1,2,Married,female,29.0,1,0,26.0,X,S,2
0,2,Man,male,25.0,0,0,13.0,X,S,1
0,2,Man,male,23.0,0,0,15.0458,X,C,1
1,1,Unmarried,female,19.0,0,2,26.2833,D,S,3
0,1,Man,male,37.0,1,0,53.1,C,S,2
0,3,Man,male,16.0,0,0,9.2167,X,S,1
0,1,Man,male,24.0,0,0,79.2,B,C,1
0,3,Married,female,26.846378070632177,0,2,15.2458,X,C,3
1,3,Unmarried,female,22.0,0,0,7.75,X,S,1
1,3,Married,female,24.0,1,0,15.85,X,S,2
0,3,Man,male,19.0,0,0,6.75,X,Q,1
0,2,Man,male,18.0,0,0,11.5,X,S,1
0,2,Man,male,19.0,1,1,36.75,X,S,3
1,3,Man,male,27.0,0,0,7.7958,X,S,1
0,3,Unmarried,female,9.0,2,2,34.375,X,S,5
0,2,Man,male,36.5,0,2,26.0,F,S,3
0,2,Doctor,male,42.0,0,0,13.0,X,S,1
0,2,Doctor,male,51.0,0,0,12.525,X,S,1
1,1,Married,female,22.0,1,0,66.6,C,S,2
0,3,Man,male,55.5,0,0,8.05,X,S,1
0,3,Man,male,40.5,0,2,14.5,X,S,3
0,3,Man,male,25.854036396555124,0,0,7.3125,X,S,1
0,1,Man,male,51.0,0,1,61.3792,X,C,2
1,3,Unmarried,female,16.0,0,0,7.7333,X,Q,1
0,3,Man,male,30.0,0,0,8.05,X,S,1
0,3,Man,male,25.854036396555124,0,0,8.6625,X,S,1
0,3,Man,male,44.0,0,1,16.1,X,S,2
1,2,Married,female,40.0,0,0,15.75,X,S,1
0,3,Man,male,26.0,0,0,7.775,X,S,1
0,3,Man,male,17.0,0,0,8.6625,X,S,1
0,3,Man,male,1.0,4,1,39.6875,X,S,6
1,3,Man,male,9.0,0,2,20.525,X,S,3
1,1,Married,female,45.77044543530295,0,1,55.0,E,S,2
0,3,Married,female,45.0,1,4,27.9,X,S,6
0,1,Man,male,46.88989468124858,0,0,25.925,X,S,1
0,3,Man,male,28.0,0,0,56.4958,X,S,1
0,1,Man,male,61.0,0,0,33.5,B,S,1
0,3,Man,male,4.0,4,1,29.125,X,Q,6
1,3,Unmarried,female,1.0,1,1,11.1333,X,S,3
0,3,Man,male,21.0,0,0,7.925,X,S,1
0,1,Man,male,56.0,0,0,30.6958,A,C,1
0,3,Man,male,18.0,1,1,7.8542,X,S,3
0,3,Man,male,11.14920970554838,3,1,25.4667,X,S,5
0,1,Unmarried,female,50.0,0,0,28.7125,C,C,1
0,2,Man,male,30.0,0,0,13.0,X,S,1
0,3,Man,male,36.0,0,0,0.0,X,S,1
0,2,Man,male,36.37196553890185,0,0,15.05,X,C,1
0,3,Man,male,9.0,4,2,31.3875,X,S,7
1,2,Man,male,1.0,2,1,39.0,F,S,4
1,3,Unmarried,female,4.0,0,2,22.025,X,S,3
0,1,Man,male,46.88989468124858,0,0,50.0,A,S,1
1,3,Married,female,17.017257026910343,1,0,15.5,X,Q,2
1,1,Man,male,45.0,0,0,26.55,X,S,1
0,3,Man,male,40.0,1,1,15.5,X,Q,3
0,3,Man,male,36.0,0,0,7.8958,X,S,1
1,2,Married,female,32.0,0,0,13.0,X,S,1
0,2,Man,male,19.0,0,0,13.0,X,S,1
1,3,Unmarried,female,19.0,1,0,7.8542,X,S,2
1,2,Man,male,3.0,1,1,26.0,F,S,3
1,1,Married,female,44.0,0,0,27.7208,B,C,1
1,1,Unmarried,female,58.0,0,0,146.5208,B,C,1
0,3,Man,male,25.854036396555124,0,0,7.75,X,Q,1
0,3,Man,male,42.0,0,1,8.4042,X,S,2
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
0,2,Unmarried,female,24.0,0,0,13.0,X,S,1
0,3,Man,male,28.0,0,0,9.5,X,S,1
0,3,Man,male,34.0,0,0,6.4958,X,S,1
0,3,Man,male,45.5,0,0,7.225,X,C,1
1,3,Man,male,18.0,0,0,8.05,X,S,1
0,3,Unmarried,female,2.0,0,1,10.4625,G,S,2
0,3,Man,male,32.0,1,0,15.85,X,S,2
1,3,Man,male,26.0,0,0,18.7875,X,C,1
1,3,Unmarried,female,16.0,0,0,7.75,X,Q,1
1,1,Man,male,40.0,0,0,31.0,A,C,1
0,3,Man,male,24.0,0,0,7.05,X,S,1
1,2,Unmarried,female,35.0,0,0,21.0,X,S,1
0,3,Man,male,22.0,0,0,7.25,X,S,1
0,2,Man,male,30.0,0,0,13.0,X,S,1
0,3,Man,male,20.248497192878645,1,0,7.75,X,Q,2
1,1,Unmarried,female,31.0,1,0,113.275,D,C,2
1,3,Unmarried,female,27.0,0,0,7.925,X,S,1
0,2,Man,male,42.0,1,0,27.0,X,S,2
1,1,Unmarried,female,32.0,0,0,76.2917,D,C,1
0,2,Man,male,30.0,0,0,10.5,X,S,1
1,3,Man,male,16.0,0,0,8.05,X,S,1
0,2,Man,male,27.0,0,0,13.0,X,S,1
0,3,Man,male,51.0,0,0,8.05,X,S,1
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
1,1,Man,male,38.0,1,0,90.0,C,S,2
0,3,Man,male,22.0,0,0,9.35,X,S,1
1,2,Man,male,19.0,0,0,10.5,X,S,1
0,3,Man,male,20.5,0,0,7.25,X,S,1
0,2,Man,male,18.0,0,0,13.0,X,S,1
0,3,Unmarried,female,1.455489207643467,3,1,25.4667,X,S,5
1,1,Married,female,35.0,1,0,83.475,C,S,2
0,3,Man,male,29.0,0,0,7.775,X,S,1
0,2,Man,male,59.0,0,0,13.5,X,S,1
1,3,Unmarried,female,5.0,4,2,31.3875,X,S,7
0,2,Man,male,24.0,0,0,10.5,X,S,1
0,3,Unmarried,female,16.16031589865021,0,0,7.55,X,S,1
0,2,Man,male,44.0,1,0,26.0,X,S,2
1,2,Unmarried,female,8.0,0,2,26.25,X,S,3
0,2,Man,male,19.0,0,0,10.5,X,S,1
0,2,Man,male,33.0,0,0,12.275,X,S,1
0,3,Unmarried,female,10.554776694973732,1,0,14.4542,X,C,2
1,3,Unmarried,female,10.554776694973732,1,0,15.5,X,Q,2
0,2,Man,male,29.0,0,0,10.5,X,S,1
0,3,Man,male,22.0,0,0,7.125,X,S,1
0,3,Man,male,30.0,0,0,7.225,X,C,1
0,1,Doctor,male,44.0,2,0,90.0,C,Q,3
0,3,Unmarried,female,25.0,0,0,7.775,X,S,1
1,2,Married,female,24.0,0,2,14.5,X,S,3
1,1,Man,male,37.0,1,1,52.5542,D,S,3
0,2,Doctor,male,54.0,1,0,26.0,X,S,2
0,3,Man,male,25.854036396555124,0,0,7.25,X,S,1
0,3,Married,female,29.0,1,1,10.4625,G,S,3
0,1,Man,male,62.0,0,0,26.55,C,S,1
0,3,Man,male,30.0,1,0,16.1,X,S,2
0,3,Married,female,41.0,0,2,20.2125,X,S,3
1,3,Married,female,29.0,0,2,15.2458,X,C,3
1,1,Married,female,43.65865451528028,0,0,79.2,X,C,1
1,1,Unmarried,female,30.0,0,0,86.5,B,S,1
1,1,Unmarried,female,35.0,0,0,512.3292,X,C,1
1,2,Married,female,50.0,0,1,26.0,X,S,2
0,3,Man,male,25.854036396555124,0,0,7.75,X,Q,1
1,3,Man,male,3.0,4,2,31.3875,X,S,7
0,1,Man,male,52.0,1,1,79.65,E,S,3
0,1,Man,male,40.0,0,0,0.0,B,S,1
0,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
0,2,Man,male,36.0,0,0,10.5,X,S,1
0,3,Man,male,16.0,4,1,39.6875,X,S,6
1,3,Man,male,25.0,1,0,7.775,X,S,2
1,1,Married,female,58.0,0,1,153.4625,C,S,2
1,1,Unmarried,female,35.0,0,0,135.6333,C,S,1
0,1,Man,male,46.88989468124858,0,0,31.0,X,S,1
1,3,Man,male,25.0,0,0,0.0,X,S,1
1,2,Married,female,41.0,0,1,19.5,X,S,2
0,1,Man,male,37.0,0,1,29.7,C,C,2
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
1,1,Unmarried,female,63.0,1,0,77.9583,D,S,2
0,3,Unmarried,female,45.0,0,0,7.75,X,S,1
0,2,Man,male,36.37196553890185,0,0,0.0,X,S,1
0,3,Man,male,7.0,4,1,29.125,X,Q,6
1,3,Married,female,35.0,1,1,20.25,X,S,3
0,3,Man,male,65.0,0,0,7.75,X,Q,1
0,3,Man,male,28.0,0,0,7.8542,X,S,1
0,3,Man,male,16.0,0,0,9.5,X,S,1
1,3,Man,male,19.0,0,0,8.05,X,S,1
0,1,Man,male,46.88989468124858,0,0,26.0,A,S,1
0,3,Man,male,33.0,0,0,8.6625,X,C,1
1,3,Man,male,30.0,0,0,9.5,X,S,1
0,3,Man,male,22.0,0,0,7.8958,X,S,1
1,2,Man,male,42.0,0,0,13.0,X,S,1
1,3,Unmarried,female,22.0,0,0,7.75,X,Q,1
1,1,Unmarried,female,26.0,0,0,78.85,X,S,1
1,1,Married,female,19.0,1,0,91.0792,B,C,2
0,2,Man,male,36.0,0,0,12.875,D,C,1
0,3,Unmarried,female,24.0,0,0,8.85,X,S,1
0,3,Man,male,24.0,0,0,7.8958,X,S,1
0,1,Man,male,46.88989468124858,0,0,27.7208,X,C,1
0,3,Man,male,23.5,0,0,7.2292,X,C,1
0,1,Unmarried,female,2.0,1,2,151.55,C,S,4
1,1,Man,male,46.88989468124858,0,0,30.5,C,S,1
1,1,Married,female,50.0,0,1,247.5208,B,C,2
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
1,3,Man,male,14.642957989202174,2,0,23.25,X,Q,3
0,3,Man,male,19.0,0,0,0.0,X,S,1
1,2,Unmarried,female,26.67824504099693,0,0,12.35,E,Q,1
0,3,Man,male,25.854036396555124,0,0,8.05,X,S,1
1,1,Man,male,0.92,1,2,151.55,C,S,4
1,1,Unmarried,female,37.19617418334366,0,0,110.8833,X,C,1
1,1,Married,female,17.0,1,0,108.9,C,C,2
0,2,Man,male,30.0,1,0,24.0,X,C,2
1,1,Unmarried,female,30.0,0,0,56.9292,E,C,1
1,1,Unmarried,female,24.0,0,0,83.1583,C,C,1
1,1,Unmarried,female,18.0,2,2,262.375,B,C,5
0,2,Married,female,26.0,1,1,26.0,X,S,3
0,3,Man,male,28.0,0,0,7.8958,X,S,1
0,2,Man,male,43.0,1,1,26.25,X,S,3
1,3,Unmarried,female,26.0,0,0,7.8542,X,S,1
1,2,Married,female,24.0,1,0,26.0,X,S,2
0,2,Doctor,male,54.0,0,0,14.0,X,S,1
1,1,Unmarried,female,31.0,0,2,164.8667,C,S,3
1,1,Married,female,40.0,1,1,134.5,E,C,3
0,3,Man,male,22.0,0,0,7.25,X,S,1
0,3,Man,male,27.0,0,0,7.8958,X,S,1
1,2,Unmarried,female,30.0,0,0,12.35,X,Q,1
1,2,Married,female,22.0,1,1,29.0,X,S,3
1,1,Unmarried,female,36.0,0,0,135.6333,C,C,1
0,3,Man,male,61.0,0,0,6.2375,X,S,1
1,2,Married,female,36.0,0,0,13.0,D,S,1
1,3,Married,female,31.0,1,1,20.525,X,S,3
1,1,Unmarried,female,16.0,0,1,57.9792,B,C,2
1,3,Unmarried,female,4.949237491297254,2,0,23.25,X,Q,3
0,1,Man,male,45.5,0,0,28.5,C,S,1
0,1,Man,male,38.0,0,1,153.4625,C,S,2
0,3,Man,male,16.0,2,0,18.0,X,S,3
1,1,Married,female,38.0531153116038,1,0,133.65,X,S,2
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,1,Man,male,29.0,1,0,66.6,C,S,2
1,1,Unmarried,female,41.0,0,0,134.5,E,C,1
1,3,Man,male,45.0,0,0,8.05,X,S,1
0,1,Man,male,45.0,0,0,35.5,T,S,1
1,2,Man,male,2.0,1,1,26.0,F,S,3
0,2,Man,male,28.0,0,0,13.0,X,S,1
0,2,Man,male,25.0,0,0,13.0,X,S,1
0,2,Man,male,36.0,0,0,13.0,X,S,1
1,2,Unmarried,female,24.0,0,0,13.0,F,S,1
1,2,Unmarried,female,40.0,0,0,13.0,X,S,1
1,3,Married,female,17.017257026910343,1,0,16.1,X,S,2
1,3,Man,male,3.0,1,1,15.9,X,S,3
0,3,Man,male,42.0,0,0,8.6625,X,S,1
0,3,Man,male,23.0,0,0,9.225,X,S,1
0,1,Man,male,46.88989468124858,0,0,35.0,C,S,1
0,3,Man,male,15.0,1,1,7.2292,X,C,3
0,3,Man,male,25.0,1,0,17.8,X,S,2
0,3,Man,male,25.854036396555124,0,0,7.225,X,C,1
0,3,Man,male,28.0,0,0,9.5,X,S,1
1,1,Unmarried,female,22.0,0,1,55.0,E,S,2
0,2,Unmarried,female,38.0,0,0,13.0,X,S,1
1,3,Unmarried,female,16.16031589865021,0,0,7.8792,X,Q,1
1,3,Unmarried,female,16.16031589865021,0,0,7.8792,X,Q,1
0,3,Man,male,40.0,1,4,27.9,X,S,6
0,2,Man,male,29.0,1,0,27.7208,X,C,2
0,3,Married,female,45.0,0,1,14.4542,X,C,2
0,3,Man,male,35.0,0,0,7.05,X,S,1
0,3,Man,male,20.248497192878645,1,0,15.5,X,Q,2
0,3,Man,male,30.0,0,0,7.25,X,S,1
1,1,Married,female,60.0,1,0,75.25,D,C,2
1,3,Married,female,22.62279623058681,0,0,7.2292,X,C,1
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
1,1,Married,female,24.0,0,0,69.3,B,C,1
1,1,Man,male,25.0,1,0,55.4417,E,C,2
0,3,Man,male,18.0,1,0,6.4958,X,S,2
0,3,Man,male,19.0,0,0,8.05,X,S,1
0,1,Man,male,22.0,0,0,135.6333,X,C,1
0,3,Unmarried,female,3.0,3,1,21.075,X,S,5
1,1,Married,female,38.0531153116038,1,0,82.1708,X,C,2
1,3,Unmarried,female,22.0,0,0,7.25,X,S,1
0,1,Man,male,27.0,0,2,211.5,C,C,3
0,3,Man,male,20.0,0,0,4.0125,X,C,1
0,3,Man,male,19.0,0,0,7.775,X,S,1
1,1,Unmarried,female,42.0,0,0,227.525,X,C,1
1,3,Unmarried,female,1.0,0,2,15.7417,X,C,3
0,3,Man,male,32.0,0,0,7.925,X,S,1
1,1,Married,female,35.0,1,0,52.0,X,S,2
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,2,Man,male,18.0,0,0,73.5,X,S,1
0,3,Man,male,1.0,5,2,46.9,X,S,8
1,2,Unmarried,female,36.0,0,0,13.0,X,S,1
0,3,Man,male,25.854036396555124,0,0,7.7292,X,Q,1
1,2,Unmarried,female,17.0,0,0,12.0,X,C,1
1,1,Man,male,36.0,1,2,120.0,B,S,4
1,3,Man,male,21.0,0,0,7.7958,X,S,1
0,3,Man,male,28.0,2,0,7.925,X,S,3
1,1,Unmarried,female,23.0,1,0,113.275,D,C,2
1,3,Married,female,24.0,0,2,16.7,G,S,3
0,3,Man,male,22.0,0,0,7.7958,X,S,1
0,3,Unmarried,female,31.0,0,0,7.8542,X,S,1
0,2,Man,male,46.0,0,0,26.0,X,S,1
0,2,Doctor,male,23.0,0,0,10.5,X,S,1
1,2,Married,female,28.0,0,0,12.65,X,S,1
1,3,Man,male,39.0,0,0,7.925,X,S,1
0,3,Man,male,26.0,0,0,8.05,X,S,1
0,3,Unmarried,female,21.0,1,0,9.825,X,S,2
0,3,Man,male,28.0,1,0,15.85,X,S,2
0,3,Unmarried,female,20.0,0,0,8.6625,X,S,1
0,2,Man,male,34.0,1,0,21.0,X,S,2
0,3,Man,male,51.0,0,0,7.75,X,S,1
1,2,Man,male,3.0,1,1,18.75,X,S,3
0,3,Man,male,21.0,0,0,7.775,X,S,1
0,3,Unmarried,female,1.455489207643467,3,1,25.4667,X,S,5
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,3,Man,male,25.854036396555124,0,0,6.8583,X,Q,1
1,1,Unmarried,female,33.0,1,0,90.0,C,Q,2
0,2,Man,male,36.37196553890185,0,0,0.0,X,S,1
1,3,Man,male,44.0,0,0,7.925,X,S,1
0,3,Married,female,22.62279623058681,0,0,8.05,X,S,1
1,2,Married,female,34.0,1,1,32.5,X,S,3
1,2,Unmarried,female,18.0,0,2,13.0,X,S,3
0,2,Man,male,30.0,0,0,13.0,X,S,1
0,3,Unmarried,female,10.0,0,2,24.15,X,S,3
0,3,Man,male,25.854036396555124,0,0,7.8958,X,C,1
0,3,Man,male,21.0,0,0,7.7333,X,Q,1
0,3,Man,male,29.0,0,0,7.875,X,S,1
0,3,Married,female,28.0,1,1,14.4,X,S,3
0,3,Man,male,18.0,1,1,20.2125,X,S,3
0,3,Man,male,25.854036396555124,0,0,7.25,X,S,1
1,2,Married,female,28.0,1,0,26.0,X,S,2
1,2,Unmarried,female,19.0,0,0,26.0,X,S,1
0,3,Man,male,25.854036396555124,0,0,7.75,X,Q,1
1,3,Man,male,32.0,0,0,8.05,E,S,1
1,1,Man,male,28.0,0,0,26.55,C,S,1
1,3,Married,female,17.017257026910343,1,0,16.1,X,S,2
1,2,Married,female,42.0,1,0,26.0,X,S,2
0,3,Man,male,17.0,0,0,7.125,X,S,1
0,1,Man,male,50.0,1,0,55.9,E,S,2
1,1,Unmarried,female,14.0,1,2,120.0,B,S,4
0,3,Unmarried,female,21.0,2,2,34.375,X,S,5
1,2,Married,female,24.0,2,3,18.75,X,S,6
0,1,Man,male,64.0,1,4,263.0,C,S,6
0,2,Man,male,31.0,0,0,10.5,X,S,1
1,2,Married,female,45.0,1,1,26.25,X,S,3
0,3,Man,male,20.0,0,0,9.5,X,S,1
0,3,Man,male,25.0,1,0,7.775,X,S,2
1,2,Unmarried,female,28.0,0,0,13.0,X,S,1
